devicetime,latitude,longitude,ac_lat,angle_volante,yaw_rate,rpm,score,anomaly,anomaly_data
2022-12-04 00:34:25.000,"-22,587,605","-688,061,783",-0.39,-0.06,0.0,1307.0,"8,465,345,214",0,No
2022-12-04 00:34:26.000,"-22,587,395","-688,060,716",-0.39,-0.06,0.0,1306.0,"8,465,345,214",0,No
2022-12-04 00:34:27.000,"-225,871,833","-688,059,666",-0.49,-0.07,0.01,1308.0,"9,808,135,297",0,No
2022-12-04 00:34:28.000,"-225,869,733","-688,058,616",-0.67,-0.04,0.0,1310.0,"11,647,318,053",0,No
2022-12-04 00:34:28.000,"-225,869,733","-688,058,616",0.12,0.07,0.01,1312.0,"7,778,901,369",0,No
2022-12-04 00:34:29.000,"-225,867,616","-688,057,583",0.3,0.03,0.02,1313.0,"8,083,016,842",0,No
2022-12-04 00:34:30.000,"-225,865,483","-688,056,533",0.28,-0.02,0.0,1316.0,"8,277,449,754",0,No
2022-12-04 00:34:31.000,"-22,586,335","-688,055,483",-0.47,-0.2,0.0,1317.0,"9,752,031,968",0,No
2022-12-04 00:34:32.000,"-225,861,216","-6,880,544",-0.39,-0.22,-0.02,1310.0,"8,465,345,214",0,No
2022-12-04 00:34:33.000,"-225,859,083","-68,805,335",-0.13,0.0,-0.01,1314.0,"7,331,990,095",0,No
2022-12-04 00:34:34.000,"-225,856,933","-688,052,266",-0.51,-0.07,0.0,1310.0,"10,134,247,691",0,No
2022-12-04 00:34:35.000,"-225,854,833","-688,051,166",-0.65,-0.18,0.0,1312.0,"11,107,152,668",0,No
2022-12-04 00:34:36.000,"-225,852,733","-688,050,016",-0.23,-0.15,0.0,1305.0,"7,405,026,519",0,No
2022-12-04 00:34:37.000,"-22,585,065","-68,804,885",0.04,-0.15,0.0,1302.0,"7,959,955,242",0,No
2022-12-04 00:34:38.000,"-225,848,566","-6,880,477",0.44,-0.15,-0.01,1301.0,"9,599,283,172",0,No
2022-12-04 00:34:39.000,"-225,844,466","-68,804,535",0.1,-0.15,0.0,1294.0,"7,764,736,227",0,No
